target,manifest,type,exported,permission_declared,has_intent_action,has_scheme,has_host,has_mime_type,notes
signal_android,demo/contacts/src/main/AndroidManifest.xml,activity,true,no,yes,no,no,no,Android application component.
signal_android,demo/contacts/src/main/AndroidManifest.xml,activity,false,no,no,no,no,no,Android application component.
signal_android,demo/contacts/src/main/AndroidManifest.xml,activity,false,no,no,no,no,no,Android application component.
signal_android,demo/contacts/src/main/AndroidManifest.xml,service,true,no,yes,no,no,no,Android application component.
signal_android,demo/contacts/src/main/AndroidManifest.xml,service,true,no,yes,no,no,no,Android application component.
signal_android,demo/device-transfer/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,demo/device-transfer/src/main/AndroidManifest.xml,activity,true,no,yes,no,no,no,Android application component.
signal_android,demo/registration/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,demo/registration/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,demo/registration/src/main/AndroidManifest.xml,activity,true,no,yes,no,no,no,Android application component.
signal_android,demo/registration/src/main/AndroidManifest.xml,service,false,no,yes,no,no,no,Android application component.
signal_android,demo/spinner/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,demo/spinner/src/main/AndroidManifest.xml,activity,true,no,yes,no,no,no,Android application component.
signal_android,demo/video/src/main/AndroidManifest.xml,activity,true,no,yes,no,no,no,Android application component.
signal_android,demo/video/src/main/AndroidManifest.xml,provider,false,no,no,no,no,no,Android application component.
signal_android,demo/debuglogs-viewer/src/main/AndroidManifest.xml,activity,true,no,yes,no,no,no,Android application component.
signal_android,demo/camera/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,demo/camera/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,demo/camera/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,demo/camera/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,demo/camera/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,demo/camera/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,demo/camera/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,demo/camera/src/main/AndroidManifest.xml,activity,true,no,yes,no,no,no,Android application component.
signal_android,demo/donations/src/main/AndroidManifest.xml,activity,true,no,yes,no,no,no,Android application component.
signal_android,demo/image-editor/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,demo/image-editor/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,demo/image-editor/src/main/AndroidManifest.xml,activity,true,no,yes,no,no,no,Android application component.
signal_android,demo/apng/src/main/AndroidManifest.xml,activity,true,no,yes,no,no,no,Android application component.
signal_android,demo/apng/src/main/AndroidManifest.xml,activity,false,no,no,no,no,no,Android application component.
signal_android,demo/apng/src/main/AndroidManifest.xml,activity,false,no,no,no,no,no,Android application component.
signal_android,demo/qr/src/main/AndroidManifest.xml,activity,true,no,yes,no,no,no,Android application component.
signal_android,demo/paging/src/main/AndroidManifest.xml,activity,true,no,yes,no,no,no,Android application component.
signal_android,feature/registration/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,feature/registration/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,feature/registration/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,feature/registration/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,feature/registration/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,feature/registration/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,feature/registration/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,feature/registration/src/main/AndroidManifest.xml,activity,false,no,no,no,no,no,Android application component.
signal_android,feature/media-send/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,feature/camera/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,feature/camera/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,feature/camera/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,feature/camera/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
signal_android,feature/camera/src/main/AndroidManifest.xml,uses-permission,,no,no,no,no,no,Permission declaration.
